month,issue_date,mae_selected,n_selected,mae_reference,n_reference,candidate,reference,n,delta_mae
2025-10,2025-10-01,0.39081693539066104,96,0.26270340202702175,96,naive,incumbent,96,0.1281135333636393
2025-10,2025-10-02,0.27038143221395655,66,0.2757254327613691,66,naive,incumbent,66,-0.005344000547412575
2025-10,2025-10-03,0.24286542610571737,18,0.1055189793151067,18,naive,incumbent,18,0.13734644679061067
2025-10,2025-10-04,0.4922249716303113,22,0.17697953600808589,22,naive,incumbent,22,0.3152454356222254
2025-10,2025-10-05,0.33956395665062145,68,0.098256302654463,68,naive,incumbent,68,0.24130765399615844
2025-10,2025-10-06,0.25498033906807926,94,0.09380693689936288,94,naive,incumbent,94,0.1611734021687164
2025-10,2025-10-07,0.26733640584065343,96,0.08578865760655728,96,naive,incumbent,96,0.18154774823409614
2025-10,2025-10-08,0.26223742342810913,96,0.04975842468696024,96,naive,incumbent,96,0.2124789987411489
2025-10,2025-10-09,0.2625499234281092,96,0.04680344248800113,96,naive,incumbent,96,0.21574648094010804
2025-10,2025-10-10,0.2723738730929265,96,0.0626869253641727,96,naive,incumbent,96,0.2096869477287538
2025-10,2025-10-11,0.2376397557404839,96,0.1005094370715317,96,naive,incumbent,96,0.1371303186689522
2025-10,2025-10-12,0.32383314551548775,96,0.19507590805887287,96,naive,incumbent,96,0.12875723745661488
2025-10,2025-10-13,0.4680364366620435,96,0.1841356975326056,96,naive,incumbent,96,0.28390073912943786
2025-10,2025-10-14,0.45487579942980433,96,0.12398747645596504,96,naive,incumbent,96,0.3308883229738393
2025-10,2025-10-15,0.3291858577978117,96,0.11906467705674907,96,naive,incumbent,96,0.21012118074106262
2025-10,2025-10-16,0.28467555671135764,96,0.08955328485929165,96,naive,incumbent,96,0.195122271852066
2025-10,2025-10-17,0.31309384150100167,96,0.07825219978594379,96,naive,incumbent,96,0.2348416417150579
2025-10,2025-10-18,0.2975894783479735,96,0.10686543846267627,96,naive,incumbent,96,0.19072403988529724
2025-10,2025-10-19,0.2668603116813068,96,0.1885563204454149,96,naive,incumbent,96,0.0783039912358919
2025-10,2025-10-20,0.26015981372322394,96,0.09095808418765457,96,naive,incumbent,96,0.1692017295355694
2025-10,2025-10-21,0.27510773038989056,96,0.06453893108673875,96,naive,incumbent,96,0.2105687993031518
2025-10,2025-10-22,0.27599863711665895,96,0.059908607157519556,96,naive,incumbent,96,0.2160900299591394
2025-10,2025-10-23,0.34225419941439367,96,0.08035513116102487,96,naive,incumbent,96,0.2618990682533688
2025-10,2025-10-24,0.30534544036061023,96,0.15251886269411186,96,naive,incumbent,96,0.15282657766649838
2025-10,2025-10-25,0.23537734531514873,96,0.12516900718026794,96,naive,incumbent,96,0.11020833813488079
2025-10,2025-10-26,0.2679458265911543,96,0.14879755003416648,96,naive,incumbent,96,0.11914827655698781
2025-10,2025-10-27,0.24791021343812605,96,0.15165935843351008,96,naive,incumbent,96,0.09625085500461597
2025-10,2025-10-28,0.18813501695176452,96,0.1334576664799464,96,naive,incumbent,96,0.054677350471818126
2025-10,2025-10-29,0.19611655301279088,96,0.1682455525650084,96,naive,incumbent,96,0.027871000447782485
2025-10,2025-10-30,0.28049157709200184,96,0.11012952620363459,96,naive,incumbent,96,0.17036205088836726
2025-10,2025-10-31,0.3821034635537062,96,0.14342947635381814,96,naive,incumbent,96,0.23867398719988808
2025-11,2025-11-01,0.4411579133399867,96,0.1418811441241355,96,naive,incumbent,96,0.2992767692158512
2025-11,2025-11-02,0.30126736111111113,96,0.13380542683415328,96,naive,incumbent,96,0.16746193427695785
2025-11,2025-11-03,0.37727207564038584,96,0.13454826143628315,96,naive,incumbent,96,0.2427238142041027
2025-11,2025-11-04,0.5514078093812375,96,0.1611571972536581,96,naive,incumbent,96,0.3902506121275794
2025-11,2025-11-05,0.440945380073187,96,0.22571547518814117,96,naive,incumbent,96,0.21522990488504584
2025-11,2025-11-06,0.4051284774201596,96,0.19781870489138553,96,naive,incumbent,96,0.20730977252877408
2025-11,2025-11-07,0.4159986121506986,96,0.20935617814732885,96,naive,incumbent,96,0.20664243400336976
2025-11,2025-11-08,0.3256495706503659,96,0.2530232875307073,96,naive,incumbent,96,0.07262628311965863
2025-11,2025-11-09,0.24612650220392548,96,0.13903978323688665,96,naive,incumbent,96,0.10708671896703884
2025-11,2025-11-10,0.3277174037341983,96,0.17600459254430925,96,naive,incumbent,96,0.15171281118988902
2025-11,2025-11-11,0.38040941554391217,96,0.17689166037219986,96,naive,incumbent,96,0.2035177551717123
2025-11,2025-11-12,0.24070693508815702,96,0.1357766649090958,96,naive,incumbent,96,0.10493027017906123
2025-11,2025-11-13,0.18004431241683302,96,0.175958827842935,96,naive,incumbent,96,0.004085484573898013
2025-11,2025-11-14,0.1535144138805722,96,0.0967320255867102,96,naive,incumbent,96,0.05678238829386199
2025-11,2025-11-15,0.310338001081171,96,0.13542878410658135,96,naive,incumbent,96,0.17490921697458964
2025-11,2025-11-16,0.3688675877411843,96,0.2007963014209532,96,naive,incumbent,96,0.16807128632023108
2025-11,2025-11-17,0.3775685140136394,96,0.19951353559599028,96,naive,incumbent,96,0.1780549784176491
2025-11,2025-11-18,0.37060748814870265,96,0.1845797125399622,96,naive,incumbent,96,0.18602777560874045
2025-11,2025-11-19,0.24307529732202263,96,0.09810433949344366,96,naive,incumbent,96,0.14497095782857897
2025-11,2025-11-20,0.21017915211244179,96,0.07647721997440361,96,naive,incumbent,96,0.13370193213803816
2025-11,2025-11-21,0.23882260479041917,96,0.2099844072041467,96,naive,incumbent,96,0.028838197586272457
2025-11,2025-11-22,0.359245181511976,96,0.15816124384828847,96,naive,incumbent,96,0.2010839376636875
2025-11,2025-11-23,0.31372869885229543,96,0.08804240685296828,96,naive,incumbent,96,0.22568629199932716
2025-11,2025-11-24,0.303924801438789,96,0.08981826733376559,96,naive,incumbent,96,0.21410653410502345
2025-11,2025-11-25,0.5001703000249501,96,0.13168644398641036,96,naive,incumbent,96,0.3684838560385397
2025-11,2025-11-26,0.40712199559214907,96,0.13228090780331916,96,naive,incumbent,96,0.2748410877888299
2025-11,2025-11-27,0.21843884106786426,96,0.11492453847297068,96,naive,incumbent,96,0.10351430259489358
2025-11,2025-11-28,0.22383327615602125,96,0.07271486578721816,96,naive,incumbent,96,0.15111841036880308
2025-11,2025-11-29,0.22184187874251496,96,0.062286130750435376,96,naive,incumbent,96,0.15955574799207958
2025-11,2025-11-30,0.31174046178476383,96,0.07391168344099025,96,naive,incumbent,96,0.23782877834377358
2025-12,2025-12-01,0.362024339266451,96,0.09732226783094163,96,naive,incumbent,96,0.2647020714355094
2025-12,2025-12-02,0.25313301837725377,96,0.10937981059617939,96,naive,incumbent,96,0.14375320778107437
2025-12,2025-12-03,0.2352798967483433,96,0.10640834415931837,96,naive,incumbent,96,0.12887155258902494
2025-12,2025-12-04,0.32807021979503775,96,0.16474641079522168,96,naive,incumbent,96,0.16332380899981608
2025-12,2025-12-05,0.3316542658730159,96,0.16394787945320313,96,naive,incumbent,96,0.16770638641981275
2025-12,2025-12-06,0.3087524560795192,96,0.16272775606124326,96,naive,incumbent,96,0.14602470001827592
2025-12,2025-12-07,0.3052898655416859,96,0.15295528506252998,96,naive,incumbent,96,0.15233458047915593
2025-12,2025-12-08,0.34744649599321925,96,0.20625421410236333,96,naive,incumbent,96,0.14119228189085592
2025-12,2025-12-09,0.45866048250388997,93,0.08891144899416858,93,naive,incumbent,93,0.3697490335097214
2025-12,2025-12-10,0.48714977436732393,92,0.11084946696849506,92,naive,incumbent,92,0.37630030739882886
2025-12,2025-12-11,0.5118672250080017,91,0.09064586454936256,91,naive,incumbent,91,0.42122136045863917
2025-12,2025-12-12,0.4432524975376389,92,0.21066402818045268,92,naive,incumbent,92,0.23258846935718622
2025-12,2025-12-13,0.3338371426645092,96,0.3942949207055692,96,naive,incumbent,96,-0.060457778041060006
2025-12,2025-12-14,0.39692809466019413,96,0.22444322673945952,96,naive,incumbent,96,0.1724848679207346
2025-12,2025-12-15,0.4089763686623517,96,0.24811709930007453,96,naive,incumbent,96,0.16085926936227718
2025-12,2025-12-16,0.34019728097549695,96,0.1929408342438951,96,naive,incumbent,96,0.14725644673160185
2025-12,2025-12-17,0.3155740002311604,96,0.192871477535546,96,naive,incumbent,96,0.12270252269561438
2025-12,2025-12-18,0.38938191073354905,96,0.1260842898320513,96,naive,incumbent,96,0.2632976209014978
2025-12,2025-12-19,0.3824896218600709,96,0.16184550921791724,96,naive,incumbent,96,0.22064411264215367
2025-12,2025-12-20,0.24651116312220678,96,0.22407326717505324,96,naive,incumbent,96,0.022437895947153536
2025-12,2025-12-21,0.2795545105177994,96,0.2114925049802431,96,naive,incumbent,96,0.06806200553755629
2025-12,2025-12-22,0.37968615156418545,96,0.0817790418919106,96,naive,incumbent,96,0.29790710967227485
2025-12,2025-12-23,0.2794489954153182,96,0.14244617844099253,96,naive,incumbent,96,0.13700281697432568
